ENABLE_QCN			Yes
PACKET_PAYLOAD_SIZE		1000
TOPOLOGY_FILE			mix/1/topology.txt
FLOW_FILE			mix/1/flow.txt
TRACE_FILE			mix/1/trace.txt
TRACE_OUTPUT_FILE		mix/1/mix.tr
FCT_OUTPUT_FILE		mix/1/fct.txt
PFC_OUTPUT_FILE				mix/1/pfc.txt
SIMULATOR_STOP_TIME		4
CC_MODE		13
ALPHA_RESUME_INTERVAL		1
RATE_DECREASE_INTERVAL		4
CLAMP_TARGET_RATE		No
RP_TIMER			900
EWMA_GAIN			0.00390625
FAST_RECOVERY_TIMES		1
RATE_AI				250Mb/s
RATE_HAI			100Mb/s
MIN_RATE		100Mb/s
DCTCP_RATE_AI				1000Mb/s
ERROR_RATE_PER_LINK		0
L2_CHUNK_SIZE			4000
L2_ACK_INTERVAL			1
L2_BACK_TO_ZERO			No
HAS_WIN		1
GLOBAL_T		0
VAR_WIN		1
FAST_REACT		1
U_TARGET		0.95
MI_THRESH		0
INT_MULTI				1
MULTI_RATE				0
SAMPLE_FEEDBACK				0
PINT_LOG_BASE				1.05
PINT_PROB				1
RATE_BOUND		1
ACK_HIGH_PRIO		0
LINK_DOWN				0 0 0
ENABLE_TRACE				1
KMAX_MAP				 25000000000 400 50000000000 800 100000000000 1600
KMIN_MAP				 25000000000 100 50000000000 200 100000000000 400
PMAX_MAP				 25000000000 0.2 50000000000 0.2 100000000000 0.2
BUFFER_SIZE				32
QLEN_MON_FILE				mix/1/qlen.txt
QLEN_MON_START				0
QLEN_MON_END				0
maxRtt=6240 maxBdp=78000
Running Simulation.
9736 8 0
9744 78000 78000
9812 9 0
9820 8 0
9828 78000 78000
9896 9 0
9904 8 0
9912 78000 78000
9980 9 0
9988 8 0
9996 78000 78000
10064 9 0
10072 8 0
10080 78000 78000
10148 9 0
10156 8 0
10164 78000 78000
10232 9 0
10240 8 0
10248 78000 78000
10316 9 0
10324 8 0
10332 78000 78000
10400 9 0
10408 8 0
10416 78000 78000
10484 9 0
10492 8 0
10500 78000 78000
10568 9 0
10576 8 0
10584 78000 78000
10652 9 0
10660 8 0
10668 78000 78000
10736 9 0
10744 8 0
10752 78000 78000
10820 9 0
10828 8 0
10836 78000 78000
10904 9 0
10912 8 0
10920 78000 78000
10988 9 0
10996 8 0
11004 78000 78000
11072 9 0
11080 8 0
11088 78000 78000
11156 9 0
11164 8 0
11172 78000 78000
11240 9 0
11248 8 0
11256 78000 78000
11324 9 0
11332 8 0
11340 78000 78000
11408 9 0
11416 8 0
11424 78000 78000
11492 9 0
11500 8 0
11508 78000 78000
11576 9 0
11584 8 0
11592 78000 78000
11660 9 0
11668 8 0
11676 78000 78000
11744 9 0
11752 8 0
11760 78000 78000
11828 9 0
11836 8 0
11844 78000 78000
11912 9 0
11920 8 0
11928 78000 78000
11996 9 0
12004 8 0
12012 78000 78000
12080 9 0
12088 8 0
12096 78000 78000
12164 9 0
12172 8 0
12180 78000 78000
12248 9 0
12256 8 0
12264 78000 78000
12332 9 0
12340 8 0
12348 78000 78000
12416 9 0
12424 8 0
12432 78000 78000
12500 9 0
12508 8 0
12516 78000 78000
12584 9 0
12592 8 0
12600 78000 78000
12668 9 0
12676 8 0
12684 78000 78000
12752 9 0
12760 8 0
12768 78000 78000
12836 9 0
12844 8 0
12852 78000 78000
12920 9 0
12928 8 0
12936 78000 78000
13004 9 0
13012 8 0
13020 78000 78000
13088 9 0
13096 8 0
13104 78000 78000
13172 9 0
13180 8 0
13188 78000 78000
13256 9 0
13264 8 0
13272 78000 78000
13340 9 0
13348 8 0
13356 78000 78000
13424 9 0
13432 8 0
13440 78000 78000
13508 9 0
13516 8 0
13524 78000 78000
13592 9 0
13600 8 0
13608 78000 78000
13676 9 0
13684 8 0
13692 78000 78000
13760 9 0
13768 8 0
13776 78000 78000
13844 9 0
13852 8 0
13860 78000 78000
13928 9 0
13936 8 0
13944 78000 78000
14012 9 0
14020 8 0
14028 78000 78000
14096 9 0
14104 8 0
14112 78000 78000
14180 9 0
14188 8 0
14196 78000 78000
14264 9 0
14272 8 0
14280 78000 78000
14348 9 0
14356 8 0
14364 78000 78000
14432 9 0
14440 8 0
14448 78000 78000
14516 9 0
14524 8 0
14532 78000 78000
14600 9 0
14608 8 0
14616 78000 78000
14684 9 0
14692 8 0
14700 78000 78000
14768 9 0
14776 8 0
14784 78000 78000
14852 9 0
14860 8 0
14868 78000 78000
